Year,Income,Industry
2021/1,42294,Retail
2021/2,42147,Retail
2021/3,42397,Retail
2021/4,42322,Retail
2021/5,41647,Retail
2021/6,40643,Retail
2021/7,41295,Retail
2021/8,41510,Retail
2021/9,42067,Retail
2021/10,42377,Retail
2021/11,42477,Retail
2021/12,42384,Retail
2022/1,42814,Retail
2022/2,42561,Retail
2022/3,42946,Retail
2022/4,42756,Retail
2022/5,42433,Retail
2022/6,42818,Retail
2022/7,42973,Retail
2022/8,43221,Retail
2021/1,61439,"Publishing, Media Entertainment"
2021/2,61960,"Publishing, Media Entertainment"
2021/3,61799,"Publishing, Media Entertainment"
2021/4,62224,"Publishing, Media Entertainment"
2021/5,62403,"Publishing, Media Entertainment"
2021/6,62506,"Publishing, Media Entertainment"
2021/7,62093,"Publishing, Media Entertainment"
2021/8,62036,"Publishing, Media Entertainment"
2021/9,62070,"Publishing, Media Entertainment"
2021/10,62138,"Publishing, Media Entertainment"
2021/11,62294,"Publishing, Media Entertainment"
2021/12,62465,"Publishing, Media Entertainment"
2022/1,62819,"Publishing, Media Entertainment"
2022/2,63592,"Publishing, Media Entertainment"
2022/3,63484,"Publishing, Media Entertainment"
2022/4,64038,"Publishing, Media Entertainment"
2022/5,64019,"Publishing, Media Entertainment"
2022/6,64065,"Publishing, Media Entertainment"
2022/7,63948,"Publishing, Media Entertainment"
2022/8,64183,"Publishing, Media Entertainment"
2021/1,64551,Finance and Insurance
2021/2,63508,Finance and Insurance
2021/3,63882,Finance and Insurance
2021/4,63853,Finance and Insurance
2021/5,63820,Finance and Insurance
2021/6,65453,Finance and Insurance
2021/7,65956,Finance and Insurance
2021/8,67551,Finance and Insurance
2021/9,65974,Finance and Insurance
2021/10,65421,Finance and Insurance
2021/11,65453,Finance and Insurance
2021/12,68806,Finance and Insurance
2022/1,68382,Finance and Insurance
2022/2,66750,Finance and Insurance
2022/3,66208,Finance and Insurance
2022/4,66590,Finance and Insurance
2022/5,65925,Finance and Insurance
2022/6,64843,Finance and Insurance
2022/7,64818,Finance and Insurance
2022/8,64427,Finance and Insurance
2021/1,54162,Science and Technical Service
2021/2,53955,Science and Technical Service
2021/3,54283,Science and Technical Service
2021/4,54568,Science and Technical Service
2021/5,54424,Science and Technical Service
2021/6,54433,Science and Technical Service
2021/7,54237,Science and Technical Service
2021/8,54390,Science and Technical Service
2021/9,54197,Science and Technical Service
2021/10,54562,Science and Technical Service
2021/11,54595,Science and Technical Service
2021/12,54825,Science and Technical Service
2022/1,55413,Science and Technical Service
2022/2,55507,Science and Technical Service
2022/3,55643,Science and Technical Service
2022/4,55959,Science and Technical Service
2022/5,55833,Science and Technical Service
2022/6,56223,Science and Technical Service
2022/7,56260,Science and Technical Service
2022/8,56402,Science and Technical Service
2021/1,39203,Creative Arts
2021/2,39106,Creative Arts
2021/3,39112,Creative Arts
2021/4,39723,Creative Arts
2021/5,38498,Creative Arts
2021/6,37949,Creative Arts
2021/7,37869,Creative Arts
2021/8,38177,Creative Arts
2021/9,37506,Creative Arts
2021/10,37204,Creative Arts
2021/11,37330,Creative Arts
2021/12,36365,Creative Arts
2022/1,37245,Creative Arts
2022/2,38933,Creative Arts
2022/3,39357,Creative Arts
2022/4,40372,Creative Arts
2022/5,39359,Creative Arts
2022/6,39749,Creative Arts
2022/7,39629,Creative Arts
2022/8,39929,Creative Arts
