Year,Income,Gender
1979 ,738 ,Male
1980 ,707 ,Male
1981 ,658 ,Male
1982 ,630 ,Male
1983 ,1049 ,Male
1984 ,880 ,Male
1985 ,833 ,Male
1986 ,1136 ,Male
1987 ,1535 ,Male
1988 ,1893 ,Male
1989 ,3494 ,Male
1990 ,3707 ,Male
1991 ,3581 ,Male
1992 ,4105 ,Male
1993 ,3694 ,Male
1994 ,3938 ,Male
1995 ,4211 ,Male
1996 ,4752 ,Male
1997 ,4539 ,Male
1998 ,4927 ,Male
1999 ,3701 ,Male
2000 ,3804 ,Male
2001 ,3235 ,Male
2002 ,3062 ,Male
2003 ,2407 ,Male
2004 ,3760 ,Male
2005 ,2411 ,Male
2006 ,4098 ,Male
2007 ,4019 ,Male
2008 ,3919 ,Male
2009 ,8234 ,Male
2010 ,6126 ,Male
2011 ,3062 ,Male
2012 ,7884 ,Male
2013 ,7725 ,Male
2014 ,2811 ,Male
2015 ,1660 ,Male
2016 ,3900 ,Male
2017 ,4161 ,Male
2018 ,5004 ,Male
2019 ,4630 ,Male
2020 ,4823 ,Male
1979 ,2090 ,Female
1980 ,1035 ,Female
1981 ,4323 ,Female
1982 ,816 ,Female
1983 ,1064 ,Female
1984 ,661 ,Female
1985 ,479 ,Female
1986 ,694 ,Female
1987 ,790 ,Female
1988 ,1013 ,Female
1989 ,1889 ,Female
1990 ,1963 ,Female
1991 ,1759 ,Female
1992 ,2331 ,Female
1993 ,2404 ,Female
1994 ,2317 ,Female
1995 ,2475 ,Female
1996 ,2408 ,Female
1997 ,2821 ,Female
1998 ,3066 ,Female
1999 ,2181 ,Female
2000 ,1930 ,Female
2001 ,2045 ,Female
2002 ,1033 ,Female
2003 ,1719 ,Female
2004 ,1967 ,Female
2005 ,1728 ,Female
2006 ,2520 ,Female
2007 ,2263 ,Female
2008 ,2073 ,Female
2009 ,4915 ,Female
2010 ,4625 ,Female
2011 ,2968 ,Female
2012 ,5112 ,Female
2013 ,6283 ,Female
2014 ,4003 ,Female
2015 ,2276 ,Female
2016 ,3234 ,Female
2017 ,3289 ,Female
2018 ,4379 ,Female
2019 ,4950 ,Female
2020 ,4391 ,Female
2021 ,2965 ,Female
