Year,Income,Gender,Industry
2006,50233 ,Male,Publishing
2007,51207 ,Male,Publishing
2008,51273 ,Male,Publishing
2009,50269 ,Male,Publishing
2010,52917 ,Male,Publishing
2011,54975 ,Male,Publishing
2012,55134 ,Male,Publishing
2013,56823 ,Male,Publishing
2014,57584 ,Male,Publishing
2015,59486 ,Male,Publishing
2016,58526 ,Male,Publishing
2017,60246 ,Male,Publishing
2018,62679 ,Male,Publishing
2019,64963 ,Male,Publishing
2020,66395 ,Male,Publishing
2006,48312 ,Female,Publishing
2007,48744 ,Female,Publishing
2008,48201 ,Female,Publishing
2009,48309 ,Female,Publishing
2010,49514 ,Female,Publishing
2011,51355 ,Female,Publishing
2012,49749 ,Female,Publishing
2013,50313 ,Female,Publishing
2014,51152 ,Female,Publishing
2015,52556 ,Female,Publishing
2016,52287 ,Female,Publishing
2017,53152 ,Female,Publishing
2018,53034 ,Female,Publishing
2019,53460 ,Female,Publishing
2020,54504 ,Female,Publishing
2006,45094 ,Male,Television and Music Production
2007,44818 ,Male,Television and Music Production
2008,45963 ,Male,Television and Music Production
2009,36965 ,Male,Television and Music Production
2010,38734 ,Male,Television and Music Production
2011,39233 ,Male,Television and Music Production
2012,38827 ,Male,Television and Music Production
2013,39696 ,Male,Television and Music Production
2014,40625 ,Male,Television and Music Production
2015,39626 ,Male,Television and Music Production
2016,39689 ,Male,Television and Music Production
2017,41541 ,Male,Television and Music Production
2018,42586 ,Male,Television and Music Production
2019,42496 ,Male,Television and Music Production
2020,44602 ,Male,Television and Music Production
2006,39482 ,Female,Television and Music Production
2007,39807 ,Female,Television and Music Production
2008,39913 ,Female,Television and Music Production
2009,36213 ,Female,Television and Music Production
2010,39016 ,Female,Television and Music Production
2011,40317 ,Female,Television and Music Production
2012,40292 ,Female,Television and Music Production
2013,42596 ,Female,Television and Music Production
2014,38811 ,Female,Television and Music Production
2015,38589 ,Female,Television and Music Production
2016,40757 ,Female,Television and Music Production
2017,41330 ,Female,Television and Music Production
2018,41380 ,Female,Television and Music Production
2019,41321 ,Female,Television and Music Production
2020,43460 ,Female,Television and Music Production
2006,47317 ,Male,Radio and Television
2007,47689 ,Male,Radio and Television 
2008,49039 ,Male,Radio and Television 
2009,48284 ,Male,Radio and Television 
2010,50568 ,Male,Radio and Television 
2011,53113 ,Male,Radio and Television 
2012,53525 ,Male,Radio and Television 
2013,52646 ,Male,Radio and Television 
2014,51692 ,Male,Radio and Television 
2015,52546 ,Male,Radio and Television 
2016,51639 ,Male,Radio and Television 
2017,51234 ,Male,Radio and Television 
2018,50905 ,Male,Radio and Television 
2019,50132 ,Male,Radio and Television 
2020,51273 ,Male,Radio and Television 
2006,45183 ,Female,Radio and Television 
2007,45621 ,Female,Radio and Television 
2008,45330 ,Female,Radio and Television 
2009,45614 ,Female,Radio and Television 
2010,48637 ,Female,Radio and Television 
2011,47765 ,Female,Radio and Television 
2012,49383 ,Female,Radio and Television 
2013,48741 ,Female,Radio and Television 
2014,45964 ,Female,Radio and Television 
2015,47488 ,Female,Radio and Television 
2016,45665 ,Female,Radio and Television 
2017,46414 ,Female,Radio and Television 
2018,47801 ,Female,Radio and Television 
2019,49153 ,Female,Radio and Television 
2020,49969 ,Female,Radio and Television 
2006,49987 ,Male,Advertising and Marketing
2007,46227 ,Male,Advertising and Marketing
2008,45247 ,Male,Advertising and Marketing
2009,41954 ,Male,Advertising and Marketing
2010,42605 ,Male,Advertising and Marketing
2011,43520 ,Male,Advertising and Marketing
2012,45247 ,Male,Advertising and Marketing
2013,46298 ,Male,Advertising and Marketing
2014,47492 ,Male,Advertising and Marketing
2015,47994 ,Male,Advertising and Marketing
2016,46032 ,Male,Advertising and Marketing
2017,45528 ,Male,Advertising and Marketing
2018,47329 ,Male,Advertising and Marketing
2019,50911 ,Male,Advertising and Marketing
2020,53340 ,Male,Advertising and Marketing
2006,48485 ,Female,Advertising and Marketing
2007,47322 ,Female,Advertising and Marketing
2008,45950 ,Female,Advertising and Marketing
2009,44040 ,Female,Advertising and Marketing
2010,48936 ,Female,Advertising and Marketing
2011,49642 ,Female,Advertising and Marketing
2012,49364 ,Female,Advertising and Marketing
