Year,Hour,Gender
1979 ,8.8,Male
1980 ,7,Male
1981 ,6.8,Male
1982 ,2.6,Male
1983 ,5.8,Male
1984 ,4.5,Male
1985 ,5.2,Male
1986 ,4.8,Male
1987 ,7.5,Male
1988 ,7.9,Male
1989 ,8.8,Male
1990 ,8.5,Male
1991 ,7.1,Male
1992 ,8.2,Male
1993 ,7,Male
1994 ,6,Male
1995 ,6.3,Male
1996 ,5.7,Male
1997 ,5.3,Male
1998 ,5.3,Male
1999 ,4.4,Male
2000 ,3.3,Male
2001 ,3.8,Male
2002 ,3.2,Male
2003 ,2.2,Male
2004 ,1.9,Male
2005 ,1.8,Male
2006 ,2.1,Male
2007 ,2.3,Male
2008 ,1.6,Male
2009 ,2.2,Male
2010 ,1.9,Male
2011 ,0.3,Male
2012 ,3.5,Male
2013 ,4.6,Male
2014 ,0.8,Male
2015 ,0.4,Male
2016 ,1.7,Male
2017 ,2.4,Male
2018 ,1.6,Male
2019 ,1.3,Male
2020 ,2.1,Male
2021,2.7,Male
1979 ,4.5,Female
1980 ,3.8,Female
1981 ,6.6,Female
1982 ,3,Female
1983 ,3.5,Female
1984 ,3.5,Female
1985 ,3.1,Female
1986 ,3.5,Female
1987 ,5.1,Female
1988 ,5.8,Female
1989 ,6.3,Female
1990 ,5.8,Female
1991 ,5.2,Female
1992 ,7.2,Female
1993 ,6.4,Female
1994 ,4.3,Female
1995 ,4.9,Female
1996 ,4.6,Female
1997 ,5.3,Female
1998 ,5.1,Female
1999 ,3.2,Female
2000 ,3,Female
2001 ,3,Female
2002 ,2.1,Female
2003 ,1.7,Female
2004 ,1.6,Female
2005 ,2,Female
2006 ,2.2,Female
2007 ,2.7,Female
2008 ,1.7,Female
2009 ,1.5,Female
2010 ,1.8,Female
2011 ,0.8,Female
2012 ,1.9,Female
2013 ,3.1,Female
2014 ,0.3,Female
2015 ,0.7,Female
2016 ,1,Female
2017 ,1.3,Female
2018 ,0.7,Female
2019 ,1.2,Female
2020 ,0.9,Female
2021,1.3,Female
